Year,Player,not_Match_Up,MIN,PTS,not_WL,not_MIN,FG%,not_FGM,not_FGA,not_FG%,not_3PT,not_3PA,not_3P%,not_FTM,not_FTA,REB,AST,not_DREB,not_REB,not_AST,not_STL,BLK,TOV,PF,PlusMinus,Fantasy
2015,Dennis Schroder,77,19.7,10,3.7,8.6,42.7,0.7,1.9,35.1,1.9,2.3,82.7,0.4,1.8,2.1,4.1,0.6,0.1,1.9,9.6,,,,,
2015,Nerlens Noel,75,30.8,9.9,4,8.7,46.2,0,0,0,1.9,3.1,60.9,2.5,5.7,8.1,1.7,1.8,1.9,1.9,15.6,,,,,
2015,Wesley Johnson,76,29.5,9.9,3.8,9.1,41.4,1.2,3.4,35.1,1.2,1.5,80.4,0.9,3.3,4.2,1.6,0.8,0.6,1.1,10.3,,,,,
2015,Luc Mbah a Moute,67,28.6,9.9,3.7,9.5,39.5,0.9,3,30.7,1.4,2.4,58.9,1.2,3.7,4.9,1.6,1.2,0.3,1.5,9.6,,,,,
2015,Terrence Ross,82,25.5,9.8,3.8,9.2,41,1.8,4.8,37.2,0.5,0.7,78.6,0.4,2.4,2.8,1,0.6,0.3,0.8,8.2,,,,,
2015,Gorgui Dieng,73,30,9.7,3.5,7,50.6,0,0.1,16.7,2.6,3.3,78.3,3.1,5.3,8.3,2,1,1.7,1.7,16.8,,,,,
2015,Timofey Mozgov,81,25.3,9.7,3.9,7,55.5,0,0.1,33.3,1.9,2.7,71.8,2.5,4.8,7.3,0.7,0.4,1.2,1.4,14,,,,,
2015,Robin Lopez,59,27.8,9.6,4,7.4,53.5,0,0,0,1.7,2.2,77.2,3.2,3.5,6.7,0.9,0.3,1.4,1.2,13.7,,,,,
2015,Evan Turner,82,27.6,9.5,3.9,9.1,42.9,0.4,1.5,27.7,1.3,1.7,75.2,0.5,4.6,5.1,5.5,1,0.2,2.4,13.3,,,,,
2015,D.J. Augustin,82,24,9.5,3.1,7.9,39.9,1,3,33.7,2.2,2.5,86.8,0.2,1.7,2,4.3,0.6,0,1.8,9.5,,,,,
2015,Greivis Vasquez,82,24.3,9.5,3.6,8.8,40.8,1.6,4.3,37.9,0.6,0.8,75.8,0.3,2.4,2.6,3.7,0.6,0.1,1.5,9.6,,,,,
2015,Mike Dunleavy,63,29.2,9.4,3.3,7.6,43.5,1.7,4.2,40.7,1.1,1.4,80.5,0.4,3.5,3.9,1.8,0.6,0.3,1,10.6,,,,,
2015,Luis Scola,81,20.5,9.4,3.7,7.9,46.7,0.1,0.2,25,2,2.8,69.9,1.7,4.8,6.5,1.3,0.6,0.2,1.2,11.8,,,,,
2015,Nicolas Batum,71,33.5,9.4,3.4,8.5,40,1.4,4.4,32.4,1.2,1.4,85.7,0.9,5,5.9,4.8,1.1,0.6,1.9,14.5,,,,,
2015,Amir Johnson,75,26.4,9.3,4,6.9,57.4,0.3,0.6,41.3,1.1,1.7,61.2,2.1,4,6.1,1.6,0.6,0.8,1.5,13.2,,,,,
2015,Marco Belinelli,62,22.4,9.2,3.2,7.6,42.3,1.4,3.7,37.4,1.4,1.6,84.8,0.4,2.1,2.5,1.5,0.5,0,1,8.2,,,,,
2015,P.J. Tucker,78,30.6,9.1,3.3,7.6,43.8,1.1,3.2,34.5,1.3,1.8,72.7,1.5,5,6.4,1.6,1.4,0.3,1.2,12.8,,,,,
2015,Bojan Bogdanovic,78,23.8,9,3.3,7.4,45.3,1.2,3.3,35.5,1.1,1.4,82.1,0.6,2.1,2.7,0.9,0.4,0.1,1,7.8,,,,,
2015,Rajon Rondo,68,29.7,8.9,4,9.5,42.6,0.4,1.3,31.4,0.5,1.1,39.7,1.1,4.4,5.5,7.9,1.3,0.1,3.1,14.6,,,,,
2015,Elfrid Payton,82,30.4,8.9,3.7,8.6,42.5,0.1,0.5,26.2,1.4,2.6,55.1,1.3,3,4.3,6.5,1.7,0.2,2.5,13,,,,,
